player_id,player_name,overall_elo,grass_elo,blend_elo,slot,p_r64,p_r32,p_r16,p_qf,p_sf,p_final,p_win
TE51,Stefanos Tsitsipas,1849.409327354489,1598.2780032105134,1748.9567976968988,62,0.75112,0.07618,0.04688,0.02274,0.01054,0.00154,0.00056
C0JP,Raphael Collignon,1894.0780105294216,1593.2624030801699,1773.751767549721,87,0.30738,0.12976,0.0578,0.02478,0.01074,0.00366,0.00056
GJ37,Tallon Griekspoor,1780.1589746632585,1671.3188867316717,1736.6229394906238,77,0.70186,0.30372,0.15978,0.06102,0.02024,0.0057,0.00056
B0ID,Ignacio Buse,1874.4091144581894,1552.2229150696153,1745.5346347027598,8,0.70074,0.43844,0.04358,0.022,0.00806,0.0017,0.00056
KD46,Thanasi Kokkinakis,1876.1655153254933,1578.622934196831,1757.1484828740283,111,0.37582,0.28638,0.12744,0.0436,0.01434,0.00466,0.00052
RC91,Arthur Rinderknech,1828.030217277077,1573.8898344345653,1726.3740641400723,57,0.7117,0.47312,0.05536,0.0249,0.01122,0.0016,0.00044
T0A1,Thiago Agustin Tirante,1872.4576040349823,1500.0,1723.4745624209893,43,0.6285,0.29952,0.14276,0.06032,0.00924,0.00126,0.00042
ME82,Adrian Mannarino,1739.4738888832874,1681.0637771554677,1716.1098441921595,67,0.62848,0.19064,0.0881,0.03916,0.01186,0.00284,0.00038
TE30,Alejandro Tabilo,1814.622644622641,1603.770191157491,1730.2816632365812,72,0.37714,0.2275,0.08252,0.0365,0.01084,0.00282,0.00036
F724,Marton Fucsovics,1752.7116796982627,1684.6108722267124,1725.4713567096426,46,0.70758,0.3272,0.16194,0.07046,0.0106,0.00132,0.00034
D0FJ,Luciano Darderi,1858.5370461464056,1491.837772602959,1711.8573367290269,16,0.59192,0.46462,0.20022,0.02082,0.00698,0.00126,0.0003
BD06,Roberto Bautista Agut,1734.1460075976133,1708.684132764124,1723.9612576642176,55,0.42142,0.2601,0.11494,0.0157,0.00648,0.0008,0.00028
B0PG,Arthur Blockx,1956.2914396500864,1417.4530507031336,1740.7560840713054,127,0.1848,0.14164,0.08262,0.0333,0.011,0.00408,0.00028
M0JF,Hamad Medjedovic,1836.881243427366,1534.2780452451668,1715.839964154486,19,0.61734,0.22746,0.0811,0.02958,0.00368,0.00054,0.00024
SL28,Jan-Lennard Struff,1756.0974695256011,1685.8669304800255,1728.0052539073708,27,0.68006,0.3164,0.11222,0.04028,0.00486,0.00082,0.00024
SY67,Sho Shimabukuro,1701.6961803784109,1612.9310056716386,1666.190110495702,91,0.62482,0.2503,0.07426,0.01996,0.00594,0.00134,0.00018
B0GG,Mattia Bellucci,1731.1957380119773,1629.7822156638802,1690.6303290727383,69,0.62722,0.22968,0.07284,0.02922,0.00862,0.00194,0.00018
H997,Yannick Hanfmann,1807.140039332872,1530.7229801733363,1696.5732156690578,75,0.57754,0.25652,0.10446,0.0353,0.0104,0.00238,0.00016
BM95,Benjamin Bonzi,1799.9432033590253,1578.7970905948323,1711.484758253348,101,0.56506,0.21322,0.05512,0.01956,0.00512,0.00166,0.00016
MW02,Corentin Moutet,1763.762532087953,1626.5027774972393,1708.8586302516676,123,0.52098,0.30744,0.07798,0.02896,0.00864,0.00224,0.00016
GC88,Marcos Giron,1731.0919480602743,1632.5266954169474,1691.6658470029433,124,0.47902,0.274,0.06674,0.02238,0.00588,0.00162,0.00016
N0BS,Mariano Navone,1864.694510859171,1416.721635615373,1685.505360761652,79,0.30478,0.14768,0.0664,0.02188,0.00546,0.00128,0.00014
B0CD,Jenson Brooksby,1731.8613691587568,1615.9414432310534,1685.4933987876755,6,0.61856,0.29708,0.0223,0.01024,0.0028,0.00044,0.00012
SU55,Denis Shapovalov,1774.2182246030022,1567.281233740961,1691.4434282581856,11,0.54224,0.20358,0.11742,0.0109,0.00346,0.00052,0.00012
AE14,Daniel Altmaier,1752.5519040528582,1581.9068202621395,1684.2938705365707,116,0.45138,0.15084,0.05234,0.01402,0.00394,0.00098,0.00012
MV14,Andrej Molcan,1858.8768297091244,1498.1172164983354,1714.5729844248087,115,0.54862,0.20006,0.0797,0.02346,0.00644,0.00186,0.00012
P0HW,Dino Prizmic,1807.5021305884934,1500.0,1684.501278353096,36,0.6553,0.21978,0.10234,0.0423,0.0057,0.00048,8e-05
SU87,Lorenzo Sonego,1732.8153546515434,1638.621081520885,1695.1376453992798,103,0.29284,0.1476,0.03582,0.01154,0.00306,0.00112,8e-05
H0BH,Rinky Hijikata,1729.7205850614816,1561.8469970591634,1662.5711498605542,54,0.57646,0.21314,0.0794,0.00852,0.00316,0.00034,8e-05
V812,Botic van de Zandschulp,1779.4075395417563,1533.2923256592173,1680.9614539887407,52,0.6698,0.23134,0.10432,0.01218,0.00434,0.0005,8e-05
W367,Stan Wawrinka,1707.4149703315074,1619.3268643718973,1672.1797279476632,85,0.2354,0.05936,0.01822,0.0055,0.00174,0.00034,8e-05
M0GZ,Giovanni Mpetshi Perricard,1697.43866963569,1565.5081153653646,1644.6664479275598,76,0.42246,0.16148,0.05612,0.016,0.00356,0.0007,6e-05
V0DP,Adolfo Daniel Vallejo,1754.999228726598,1500.0,1652.9995372359588,37,0.70858,0.27314,0.09108,0.0342,0.0035,0.00024,6e-05
D0DT,Martin Damm,1730.1685430834818,1507.0211670350352,1640.9095926641032,60,0.63448,0.28138,0.02322,0.00804,0.0026,0.00026,6e-05
A0GC,Tomas Atmane,1758.771660339346,1499.8867906473777,1655.2177124625587,106,0.22112,0.1236,0.04344,0.00952,0.00228,0.00054,6e-05
MK66,Mackenzie McDonald,1698.6845789607949,1575.7228086889543,1649.4998708520586,100,0.74614,0.11604,0.04034,0.01124,0.0025,0.00062,6e-05
O513,Sebastian Ofner,1661.82047440101,1592.2129256225712,1633.9774548896344,20,0.38266,0.10086,0.02656,0.00672,0.0005,0.00012,4e-05
D0F6,Gilles Diallo,1684.669387996341,1638.2243130343802,1666.0913580115566,102,0.43494,0.13874,0.03028,0.00908,0.00214,0.00058,4e-05
B0FV,Renzo Agustin Burruchaga,1733.5953516464426,1500.0,1640.1572109878655,66,0.16786,0.07366,0.0266,0.00966,0.0021,0.00028,4e-05
KF17,Soonwoo Kwon,1750.0480790407253,1514.7813808254302,1655.9413997546071,21,0.55212,0.13316,0.04554,0.01294,0.0014,0.00042,4e-05
C0C8,Juan Manuel Cerundolo,1749.8444242902203,1468.789311636891,1637.4223792288885,42,0.2969,0.12466,0.04598,0.01424,0.0014,0.00012,4e-05
M0N7,Daniel Merida,1712.8722606495126,1500.0,1627.7233563897075,30,0.5242,0.10048,0.03426,0.00832,0.00074,6e-05,4e-05
G0FW,Vilius Gaubas,1638.794642655074,1500.0,1583.2767855930445,110,0.59494,0.12458,0.03092,0.00546,0.00094,0.00022,2e-05
D0DW,Titouan Droguet,1709.8988091096503,1500.0,1625.9392854657901,68,0.37152,0.08078,0.02784,0.009,0.00196,0.00034,2e-05
D923,Damir Dzumhur,1647.9404328961878,1499.4671567133814,1588.5511224230652,93,0.4734,0.08502,0.02904,0.00498,0.00108,0.00012,2e-05
V0AM,Otto Virtanen,1634.0776039971877,1539.1098493132295,1596.0905021236044,95,0.14012,0.07006,0.02312,0.00446,0.00096,0.00012,2e-05
SX50,Roman Safiullin,1687.9743799133307,1474.680294099667,1602.6567455878653,50,0.20054,0.0902,0.0308,0.00266,0.0006,4e-05,2e-05
V832,Aleksandar Vukic,1650.7140291893395,1529.3232831408036,1602.1577307699251,5,0.38144,0.14054,0.00734,0.00212,0.0004,6e-05,2e-05
S0GD,Dalibor Svrcina,1694.9713163726356,1500.0,1616.9827898235812,47,0.25888,0.10434,0.0362,0.01134,0.00118,6e-05,2e-05
S0H2,Alexander Shevchenko,1746.489473704699,1405.4679289636003,1610.0808558082597,34,0.19278,0.0855,0.0314,0.01062,0.00116,0.00016,2e-05
CD85,Pablo Carreno Busta,1801.2709245370072,1448.7137881575723,1660.248069985233,12,0.45776,0.15562,0.07992,0.00648,0.0017,0.0001,2e-05
Q02L,Ethan Quinn,1685.4095496664988,1590.7686712382686,1647.5531982952066,15,0.40808,0.29514,0.10474,0.00798,0.00212,0.0003,2e-05
B0EJ,Tristan Boyer,1596.3270452549802,1500.0,1557.7962271529882,4,0.36918,0.01202,0.00388,0.00118,0.00016,2e-05,2e-05
U182,Camilo Ugo Carabelli,1766.201437937115,1382.6694375294924,1612.788637774066,29,0.4758,0.08488,0.02714,0.0061,0.00044,6e-05,2e-05
M0CI,Fabian Marozsan,1748.2134741417035,1455.729142664372,1631.2197415507708,44,0.3715,0.13142,0.0471,0.01478,0.0016,0.00014,2e-05
P09Z,Alexei Popyrin,1768.5364540032194,1422.5943098538376,1630.1595963434665,114,0.20746,0.08296,0.0238,0.00538,0.0013,0.00026,2e-05
MU94,Jaume Munar,1790.6628343589862,1504.4890555336726,1676.1933228288608,119,0.27148,0.11718,0.04104,0.01014,0.00268,0.00066,2e-05
KI82,Vitek Kopriva,1792.1185856862623,1445.7030528012117,1653.5523725322419,107,0.81186,0.222,0.07668,0.01716,0.00398,0.00098,2e-05
M0HU,Shintaro Mochizuki,1482.7439570728056,1415.9309694239453,1456.0187620132615,13,0.4364,0.09394,0.01546,0.00056,0.00014,0.0,0.0
B0JE,Max Basing,1500.0,1500.0,1500.0,14,0.5636,0.1463,0.0287,0.00134,0.00024,2e-05,0.0
BT72,Nuno Borges,1753.5361533493956,1500.5118649208048,1652.3264379779594,3,0.63082,0.03228,0.01408,0.00528,0.00116,0.00024,0.0
KI95,Miomir Kecmanovic,1728.0511337058203,1533.57188369394,1650.2594337010682,2,0.03394,0.01856,0.00808,0.003,0.00076,0.0001,0.0
WB32,Yibing Wu,1739.801045359645,1414.8595044286856,1609.8244289872612,63,0.03688,0.01388,0.00556,0.00184,0.00044,2e-05,0.0
G09O,Hugo Gaston,1594.1523746028954,1504.4033701773137,1558.2527728326627,61,0.24888,0.01022,0.0036,0.00108,0.0003,2e-05,0.0
T0GR,Oliver Tarvet,1575.9113770929384,1557.829256462471,1568.6785288407514,58,0.2883,0.12902,0.00786,0.00204,0.00048,6e-05,0.0
TA29,Marcos Trungelliti,1626.4002320493125,1421.786532698357,1544.5547523089303,59,0.36552,0.11648,0.00594,0.00142,0.00022,2e-05,0.0
K0AZ,Aleksandar Kovacevic,1664.8656891861576,1393.684695289922,1556.3932916276635,51,0.3302,0.06982,0.02064,0.00118,0.00024,2e-05,0.0
D0C1,Jesper de Jong,1724.3436004236873,1429.4897082454074,1606.4020435523753,53,0.42354,0.1272,0.03842,0.00342,0.00086,2e-05,0.0
W09E,Adam Walton,1673.9706819773596,1425.769818716905,1574.6903366731779,35,0.3447,0.07662,0.02522,0.00674,0.00062,0.0,0.0
V0DZ,Luca Van Assche,1683.622472873128,1401.177052423013,1570.6443046930817,45,0.29242,0.07936,0.02294,0.00566,0.00048,2e-05,0.0
Z0BZ,Michael Zheng,1521.9897867267357,1500.0,1513.1938720360413,39,0.17432,0.06336,0.01208,0.00244,0.00016,0.0,0.0
M0AW,Nicolas Mejia,1495.486868149487,1500.0,1497.2921208896923,38,0.29142,0.06434,0.01208,0.00248,8e-05,2e-05,0.0
G0EU,Felix Gill,1500.0,1500.0,1500.0,10,0.13456,0.03564,0.01124,0.00054,6e-05,0.0,0.0
N0AM,Emilio Nava,1698.7063869017836,1449.7088891826377,1599.107387814125,7,0.29926,0.12394,0.00696,0.00178,0.00026,6e-05,0.0
MP20,Alexandre Muller,1692.1849318238826,1513.5137846791235,1620.716472965979,23,0.15938,0.07498,0.02254,0.0051,0.00026,8e-05,0.0
L0IL,Martin Landaluce,1706.2266564202678,1486.4976753210076,1618.3350639805635,22,0.44788,0.09152,0.02786,0.00676,0.00048,8e-05,0.0
B0BI,Sebastian Baez,1738.1412229547418,1387.167729228095,1597.7518254640831,28,0.31994,0.09598,0.02076,0.00472,0.0003,2e-05,0.0
P0HT,Jack Pinnington Jones,1626.360655211765,1400.7759422033466,1536.1267700083977,26,0.18184,0.05532,0.00944,0.00146,6e-05,0.0,0.0
F0DM,Arthur Fery,1670.4899581073819,1506.6666804940194,1604.960647062037,94,0.5266,0.10236,0.03722,0.0073,0.00164,0.00032,0.0
F0F2,Jaime Faria,1659.755409515091,1453.359526414203,1577.1970562747358,92,0.37518,0.10814,0.02198,0.00372,0.00092,8e-05,0.0
BU13,Zizou Bergs,1744.3939504947853,1427.269068647208,1617.5439977557544,90,0.27282,0.12984,0.03226,0.0065,0.00178,0.0003,0.0
S0TM,Toby Samuel,1450.28894278782,1417.8206131934803,1437.301610950084,82,0.10846,0.0134,0.00114,6e-05,0.0,0.0,0.0
S0IA,Dane Sweeny,1588.4288415568365,1500.0,1553.057304934102,83,0.16296,0.04026,0.00548,0.0011,0.00016,2e-05,0.0
S0K7,Zachary Svajda,1714.0278639781557,1427.8183316971597,1599.5440510657572,70,0.37278,0.09646,0.02136,0.0059,0.00112,0.00014,0.0
HD68,Billy Harris,1603.0755118689972,1540.2545700987298,1577.9471351608902,74,0.2345,0.08642,0.02218,0.00446,0.00064,0.00014,0.0
D994,James Duckworth,1624.0823119080342,1533.4476083451461,1587.828430482879,78,0.29814,0.07336,0.02376,0.00512,0.00092,0.00016,0.0
J0AZ,Kyrian Jacquet,1517.6473207971385,1500.0,1510.588392478283,109,0.40506,0.06184,0.01278,0.00124,0.00016,2e-05,0.0
CH12,Jan Choinski,1427.4225176500333,1359.612795555386,1400.2986288121742,108,0.18814,0.01618,0.00166,2e-05,0.0,0.0,0.0
K0A3,Patrick Kypson,1435.260408315215,1500.0,1461.156244989129,99,0.25386,0.01602,0.00244,0.00028,2e-05,0.0,0.0
F0BY,Jacob Fearnley,1612.0736672552864,1526.1746937510534,1577.7140778535932,118,0.24,0.05338,0.01346,0.00236,0.00032,6e-05,0.0
A0FC,Matteo Arnaldi,1836.161659652177,1387.5327742508298,1656.710105491638,121,0.54236,0.23888,0.05082,0.01484,0.00328,0.00068,0.0
HB64,Quentin Halys,1702.91459483033,1506.2555640330538,1624.2509825114196,122,0.45764,0.17968,0.0346,0.00898,0.00178,0.00038,0.0
W0AH,Harry Wendelken,1478.2823188005598,1437.279645335608,1461.881249414579,126,0.3488,0.02394,0.0055,0.0006,4e-05,0.0,0.0
R0EB,Valentin Royer,1587.284321681096,1540.195458463935,1568.4487763942316,125,0.6512,0.07302,0.02458,0.00508,0.0007,0.0002,0.0
