year,player_id,pred_r2,pred_r3,pred_r4,pred_qf,pred_sf,pred_f,pred_w,actual_rounds,reached_r2,reached_r3,reached_r4,reached_qf,reached_sf,reached_f,reached_w
2011,MA30,0.1666,0.053,0.0024,0.0006,0.0001,0.0,0.0,2,1,1,0,0,0,0,0
2011,H355,0.8334,0.5588,0.0889,0.0402,0.0186,0.0058,0.0013,0,0,0,0,0,0,0,0
2011,R975,0.735,0.3207,0.0321,0.0109,0.0036,0.0012,0.0002,1,1,0,0,0,0,0,0
2011,G436,0.265,0.0675,0.0032,0.0005,0.0001,0.0,0.0,0,0,0,0,0,0,0,0
2011,D683,0.9387,0.7948,0.6154,0.1716,0.1116,0.0541,0.0173,3,1,1,1,0,0,0,0
2011,C723,0.0613,0.0182,0.0043,0.0002,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,R397,0.7373,0.1611,0.0775,0.0079,0.0025,0.0006,0.0001,1,1,0,0,0,0,0,0
2011,D750,0.2627,0.0259,0.0059,0.0002,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,SC56,0.51,0.157,0.0303,0.0021,0.0006,0.0,0.0,1,1,0,0,0,0,0,0
2011,G717,0.49,0.1541,0.0283,0.0017,0.0001,0.0,0.0,0,0,0,0,0,0,0,0
2011,SD32,0.8548,0.6394,0.2339,0.0364,0.0163,0.005,0.0005,2,1,1,0,0,0,0,0
2011,R613,0.1452,0.0495,0.0044,0.0001,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,F339,0.7497,0.4255,0.268,0.1598,0.0382,0.0135,0.0025,4,1,1,1,1,0,0,0
2011,G710,0.2503,0.0827,0.033,0.011,0.001,0.0003,0.0001,0,0,0,0,0,0,0,0
2011,I165,0.2039,0.0508,0.0156,0.0038,0.0003,0.0,0.0,1,1,0,0,0,0,0,0
2011,K435,0.7961,0.441,0.2777,0.1685,0.0423,0.0154,0.0042,0,0,0,0,0,0,0,0
2011,H756,0.6487,0.1407,0.0292,0.0074,0.0007,0.0,0.0,2,1,1,0,0,0,0,0
2011,R750,0.3513,0.0483,0.0057,0.0016,0.0001,0.0,0.0,0,0,0,0,0,0,0,0
2011,V306,0.5146,0.419,0.1931,0.1048,0.0209,0.0074,0.0005,1,1,0,0,0,0,0,0
2011,S694,0.4854,0.392,0.1777,0.0894,0.0166,0.0048,0.0005,0,0,0,0,0,0,0,0
2011,C514,0.7547,0.477,0.1398,0.0379,0.0041,0.0012,0.0001,1,1,0,0,0,0,0,0
2011,ME05,0.2453,0.096,0.0123,0.0014,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,B842,0.614,0.2867,0.0593,0.0113,0.0009,0.0002,0.0,2,1,1,0,0,0,0,0
2011,Y124,0.386,0.1403,0.0196,0.0024,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,B747,0.8053,0.2494,0.1605,0.0516,0.0061,0.0014,0.0003,1,1,0,0,0,0,0,0
2011,BE54,0.1947,0.0226,0.0086,0.0003,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,BA47,0.9109,0.7048,0.5911,0.3478,0.0899,0.0366,0.0086,3,1,1,1,0,0,0,0
2011,V254,0.0891,0.0232,0.0088,0.001,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,MC10,0.9571,0.9087,0.7593,0.5841,0.4127,0.194,0.0811,5,1,1,1,1,1,0,0
2011,G676,0.0429,0.0193,0.0044,0.0003,0.0001,0.0,0.0,0,0,0,0,0,0,0,0
2011,K839,0.5379,0.0415,0.0109,0.0026,0.0007,0.0001,0.0,1,1,0,0,0,0,0,0
2011,K834,0.4621,0.0305,0.0075,0.001,0.0001,0.0,0.0,0,0,0,0,0,0,0,0
2011,SC77,0.8224,0.2863,0.0458,0.0155,0.004,0.0005,0.0,1,1,0,0,0,0,0,0
2011,CB14,0.1776,0.0178,0.0007,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,L360,0.3873,0.2462,0.0478,0.0202,0.0062,0.0013,0.0001,2,1,1,0,0,0,0,0
2011,C977,0.6127,0.4497,0.1236,0.0628,0.0237,0.0062,0.001,0,0,0,0,0,0,0,0
2011,G628,0.8055,0.6951,0.5188,0.2113,0.1154,0.0361,0.0108,3,1,1,1,0,0,0,0
2011,G725,0.1945,0.1199,0.0553,0.0088,0.0021,0.0003,0.0,0,0,0,0,0,0,0,0
2011,K403,0.6985,0.1526,0.059,0.0096,0.0016,0.0001,0.0,1,1,0,0,0,0,0,0
2011,SF36,0.3015,0.0324,0.0072,0.0004,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,BA98,0.7653,0.2691,0.0715,0.0109,0.0024,0.0001,0.0,2,1,1,0,0,0,0,0
2011,F580,0.2347,0.0348,0.0037,0.0002,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,W367,0.7723,0.582,0.26,0.0696,0.0265,0.0063,0.0009,1,1,0,0,0,0,0,0
2011,S843,0.2277,0.1141,0.0245,0.0027,0.0004,0.0001,0.0,0,0,0,0,0,0,0,0
2011,MC65,0.9369,0.7784,0.5373,0.2717,0.107,0.0302,0.0076,2,1,1,0,0,0,0,0
2011,BC65,0.0631,0.0151,0.0028,0.0004,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,Z189,0.5379,0.1168,0.0404,0.0088,0.0009,0.0001,0.0,1,1,0,0,0,0,0,0
2011,L797,0.4621,0.0897,0.0295,0.0057,0.0013,0.0003,0.0,0,0,0,0,0,0,0,0
2011,K540,0.4226,0.0931,0.0185,0.0033,0.0004,0.0,0.0,3,1,1,1,0,0,0,0
2011,C487,0.5774,0.1561,0.0388,0.0071,0.001,0.0001,0.0,0,0,0,0,0,0,0,0
2011,K336,0.4793,0.3573,0.1533,0.0598,0.0164,0.0035,0.0004,1,1,0,0,0,0,0,0
2011,T742,0.5207,0.3935,0.1794,0.0674,0.0208,0.0042,0.0007,0,0,0,0,0,0,0,0
2011,S636,0.3488,0.1079,0.0181,0.0047,0.0006,0.0,0.0,1,1,0,0,0,0,0,0
2011,BD20,0.6512,0.3131,0.0848,0.0292,0.0065,0.0009,0.0002,0,0,0,0,0,0,0,0
2011,L397,0.701,0.4517,0.1611,0.0714,0.0215,0.0043,0.0006,4,1,1,1,1,0,0,0
2011,B678,0.299,0.1273,0.0269,0.008,0.0017,0.0002,0.0,0,0,0,0,0,0,0,0
2011,H528,0.7584,0.1308,0.0487,0.0129,0.0019,0.0003,0.0,1,1,0,0,0,0,0,0
2011,P605,0.2416,0.0163,0.0033,0.0005,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,R485,0.8948,0.7979,0.638,0.4434,0.2231,0.0844,0.0266,2,1,1,0,0,0,0,0
2011,BA86,0.1052,0.055,0.0191,0.0057,0.001,0.0001,0.0,0,0,0,0,0,0,0,0
